2026-04-29 12:32:42 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:32:42 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:32:42 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:32:52 | INFO     | stitch | Optimization job 0e133525 queued.
2026-04-29 12:32:52 | INFO     | stitch | Starting route optimization…
2026-04-29 12:32:52 | INFO     | stitch | Routing 48 bins across 4 trucks.
2026-04-29 12:32:52 | INFO     | stitch | Distance matrix fetched from OSRM successfully.
2026-04-29 12:32:55 | INFO     | stitch | Truck 1: 7 stops, 19.0 km, 488 geometry points.
2026-04-29 12:32:56 | INFO     | stitch | Truck 2: 10 stops, 16.3 km, 467 geometry points.
2026-04-29 12:32:57 | INFO     | stitch | Truck 3: 8 stops, 17.0 km, 511 geometry points.
2026-04-29 12:32:58 | INFO     | stitch | Truck 4: 3 stops, 17.6 km, 455 geometry points.
2026-04-29 12:32:58 | INFO     | stitch | Optimization complete in 5.72s — 4 routes, 69.89 km total.
2026-04-29 12:32:58 | INFO     | stitch | Optimization job 0e133525 complete.
2026-04-29 13:49:54 | INFO     | stitch | Optimization job a9434550 queued.
2026-04-29 13:49:54 | INFO     | stitch | Starting route optimization…
2026-04-29 13:49:54 | INFO     | stitch | Routing 61 bins across 4 trucks.
2026-04-29 13:49:55 | INFO     | stitch | Distance matrix fetched from OSRM successfully.
2026-04-29 13:49:58 | INFO     | stitch | Truck 1: 8 stops, 23.6 km, 618 geometry points.
2026-04-29 13:49:59 | INFO     | stitch | Truck 2: 8 stops, 18.8 km, 591 geometry points.
2026-04-29 13:50:00 | INFO     | stitch | Truck 3: 8 stops, 23.3 km, 676 geometry points.
2026-04-29 13:50:01 | INFO     | stitch | Truck 4: 8 stops, 20.6 km, 487 geometry points.
2026-04-29 13:50:01 | INFO     | stitch | Optimization complete in 7.07s — 4 routes, 86.4 km total.
2026-04-29 13:50:01 | INFO     | stitch | Optimization job a9434550 complete.
2026-04-29 15:30:53 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:30:53 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:30:53 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:30:53 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:30:53 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:30:53 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:30:53 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:30:53 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:31:14 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:31:14 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:31:14 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:31:14 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:31:14 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:31:14 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:31:14 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:31:14 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:31:35 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:31:35 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:31:35 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:31:35 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:31:35 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:31:35 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:31:35 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:31:35 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:32:28 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:32:28 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 15:32:28 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:32:28 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:32:28 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:32:28 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:32:28 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:32:28 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:33:05 | INFO     | stitch | Optimization job e8739fb8 queued.
2026-04-29 15:33:05 | INFO     | stitch | Starting route optimization…
2026-04-29 15:33:05 | INFO     | stitch | Routing 47 bins across 4 trucks.
2026-04-29 15:33:10 | INFO     | stitch | Distance matrix fetched from OSRM successfully.
2026-04-29 15:33:12 | INFO     | stitch | Truck 1: 12 stops, 18.3 km, 460 geometry points.
2026-04-29 15:33:13 | INFO     | stitch | Truck 2: 9 stops, 17.9 km, 491 geometry points.
2026-04-29 15:33:14 | INFO     | stitch | Truck 3: 7 stops, 17.8 km, 475 geometry points.
2026-04-29 15:33:15 | INFO     | stitch | Truck 4: 6 stops, 18.7 km, 466 geometry points.
2026-04-29 15:33:15 | INFO     | stitch | Optimization complete in 10.44s — 4 routes, 72.74 km total.
2026-04-29 15:33:15 | INFO     | stitch | Optimization job e8739fb8 complete.
2026-04-29 15:35:13 | INFO     | stitch | Loaded 80 bins. Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:35:13 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:35:13 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:35:14 | INFO     | stitch | Loaded 80 bins. Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 15:35:14 | INFO     | stitch | Background simulation thread started.
2026-04-29 15:35:14 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 15:39:02 | WARNING  | stitch | Failed login attempt for username: 'admin'
2026-04-29 15:43:20 | WARNING  | stitch | Failed login attempt for username: 'admin'
2026-04-29 15:43:21 | WARNING  | stitch | Failed login attempt for username: 'admin'
2026-04-29 15:43:22 | WARNING  | stitch | Failed login attempt for username: 'admin'
2026-04-29 15:44:53 | INFO     | stitch | Login: admin
2026-04-29 15:45:20 | INFO     | stitch | Optimization job 621f9986 queued.
2026-04-29 15:45:20 | INFO     | stitch | Starting route optimization…
2026-04-29 15:45:20 | INFO     | stitch | Routing 49 bins across 4 trucks.
2026-04-29 15:45:20 | INFO     | stitch | Distance matrix fetched from OSRM successfully.
2026-04-29 15:45:23 | INFO     | stitch | Truck 1: 10 stops, 17.5 km, 392 geometry points.
2026-04-29 15:45:24 | INFO     | stitch | Truck 2: 4 stops, 18.8 km, 513 geometry points.
2026-04-29 15:45:25 | INFO     | stitch | Truck 3: 10 stops, 18.4 km, 564 geometry points.
2026-04-29 15:45:26 | INFO     | stitch | Truck 4: 9 stops, 18.8 km, 584 geometry points.
2026-04-29 15:45:26 | INFO     | stitch | Optimization complete in 6.15s — 4 routes, 73.51 km total.
2026-04-29 15:45:26 | INFO     | stitch | Optimization job 621f9986 complete.
